 20.0044 20.0044 227.101 -82.1248 0.0226851 0.0307537 0 0
 11.1537 11.1537 254.095 -45.1233 0.0655398 0.0894958 0 0
 7.8009 7.8009 264.312 -21.3244 0.126146 0.231049 0 0
 6.09721 6.09721 263.561 -7.82068 0.113482 0.422676 0 0
 5.13521 5.13521 261.266 3.32782 0.0473632 0.717214 0 0
 4.59229 4.59229 258.714 9.71374 -0.0679073 0.968577 0 0
 4.32241 4.32241 254.143 14.0633 -0.352326 1.1821 0 0
 4.24359 4.24359 248.669 16.378 -0.768925 1.27424 0 0
 4.29851 4.29851 241.906 16.0014 -1.34887 1.11451 0 0
 4.44013 4.44013 237.667 12.6607 -1.66184 0.632088 0 0
 4.62787 4.62787 233.203 6.8823 -1.98663 -0.110922 0 0
 4.8283 4.8283 232.283 1.74653 -1.85834 -0.715295 0 0
 5.01687 5.01687 236.765 -4.77808 -1.08324 -1.42554 0 0
 5.17849 5.17849 245.265 -8.39859 0.0923385 -1.69479 0 0
 5.30649 5.30649 258.832 -8.04861 1.73784 -1.44508 0 0
 5.40056 5.40056 268.021 -4.26344 2.64015 -0.811748 0 0
 5.46433 5.46433 273.872 7.06249 3.02506 0.643238 0 0
 5.50331 5.50331 274.564 16.7927 2.74814 1.72151 0 0
 5.52342 5.52342 269.227 27.7457 1.79771 2.80678 0 0
 5.53015 5.53015 260.274 31.6728 0.54388 2.93744 0 0

 5.53015 5.53015 262.994 46.36 0.54388 2.93744 0 0
 20.0044 20.0044 169.194 -76.194 0.0169008 0.0313461 0 0
 11.1537 11.1537 193.465 -48.9163 0.055438 0.0746372 0 0
 7.8009 7.8009 208.636 -41.6651 0.145683 0.117484 0 0
 6.09721 6.09721 221.75 -39.5308 0.332917 0.146602 0 0
 5.13521 5.13521 234.775 -35.5784 0.68145 0.251113 0 0
 4.59229 4.59229 244.025 -32.1157 1.06138 0.393522 0 0
 4.32241 4.32241 250.694 -28.2315 1.41554 0.613972 0 0
 4.24359 4.24359 258.048 -25.0035 1.89862 0.826618 0 0
 4.29851 4.29851 264.246 -21.8533 2.31458 1.05144 0 0
 4.44013 4.44013 269.756 -18.9745 2.66062 1.2493 0 0
 4.62787 4.62787 273.689 -16.0993 2.80809 1.43776 0 0
 4.8283 4.8283 277.522 -14.7332 2.93131 1.42914 0 0
 5.01687 5.01687 279.312 -14.5608 2.7918 1.27548 0 0
 5.17849 5.17849 283.389 -16.0794 2.94945 0.932755 0 0
 5.30649 5.30649 286.067 -18.7687 2.91632 0.490428 0 0
